siteID,datetime,doyfrac,schmidt_stability,thermocline_depth
4,5/16/2019 14:30,136.6041667,27.60373575,4.556156905
4,5/16/2019 15:00,136.625,29.59199264,4.689742004
4,5/16/2019 15:30,136.6458333,33.6835943,4.504534869
4,5/16/2019 16:00,136.6666667,36.73131014,4.064630516
4,5/16/2019 16:30,136.6875,38.1160513,2.274524106
4,5/16/2019 17:00,136.7083333,35.52671735,2.036837979
4,5/16/2019 17:30,136.7291667,33.70702928,1.759168366
4,5/16/2019 18:00,136.75,32.60296587,2.702222411
4,5/16/2019 18:30,136.7708333,30.64160627,2.701105011
4,5/16/2019 19:00,136.7916667,27.02717283,2.352347382
4,5/16/2019 19:30,136.8125,25.46955907,2.226830076
4,5/16/2019 20:00,136.8333333,25.08050641,2.275065725
4,5/16/2019 20:30,136.8541667,27.0318917,2.218536702
4,5/16/2019 21:00,136.875,25.25119004,3.46073889
4,5/16/2019 21:30,136.8958333,26.36385805,2.720064619
4,5/16/2019 22:00,136.9166667,28.98931199,2.281285819
4,5/16/2019 22:30,136.9375,28.9421717,2.055012693
4,5/16/2019 23:00,136.9583333,30.7752694,3.225994588
4,5/16/2019 23:30,136.9791667,32.74619278,2.921861374
4,5/17/2019 0:00,137,27.08928224,4.509691659
4,5/17/2019 0:30,137.0208333,20.68701109,5.5
4,5/17/2019 1:00,137.0416667,31.92429699,4.571836664
4,5/17/2019 1:30,137.0625,32.562657,4.511062294
4,5/17/2019 2:00,137.0833333,38.13675378,3.756149005
4,5/17/2019 2:30,137.1041667,38.81609411,3.638540375
4,5/17/2019 3:00,137.125,38.5171574,2.896815015
4,5/17/2019 3:30,137.1458333,39.57177173,3.187732465
4,5/17/2019 4:00,137.1666667,38.49753446,2.984045287
4,5/17/2019 4:30,137.1875,37.26493419,2.665474104
4,5/17/2019 5:00,137.2083333,35.1009673,2.536762534
4,5/17/2019 5:30,137.2291667,35.73985417,2.254469726
4,5/17/2019 6:00,137.25,37.61598634,2.309629526
4,5/17/2019 6:30,137.2708333,35.8853556,3.276656004
4,5/17/2019 7:00,137.2916667,35.59757787,1.964014932
4,5/17/2019 7:30,137.3125,34.40108729,1.785922206
4,5/17/2019 8:00,137.3333333,34.38352592,2.172468716
4,5/17/2019 8:30,137.3541667,33.0100594,1.789216505
4,5/17/2019 9:00,137.375,30.65918162,3.114481793
4,5/17/2019 9:30,137.3958333,29.5264257,1.772760358
4,5/17/2019 10:00,137.4166667,29.81167584,3.448912901
4,5/17/2019 10:30,137.4375,29.61366177,2.291117513
4,5/17/2019 11:00,137.4583333,32.23361531,2.551935492
4,5/17/2019 11:30,137.4791667,32.27936236,2.803904119
4,5/17/2019 12:00,137.5,35.39463664,2.914885339
4,5/17/2019 12:30,137.5208333,34.02006442,2.776862375
4,5/17/2019 13:00,137.5416667,33.35325967,2.790404768
4,5/17/2019 13:30,137.5625,33.51324746,2.890131568
4,5/17/2019 14:00,137.5833333,36.02255903,3.540214094
4,5/17/2019 14:30,137.6041667,35.6791507,3.488302385
4,5/17/2019 15:00,137.625,33.31589201,2.832558919
4,5/17/2019 15:30,137.6458333,29.75450431,3.033036282
4,5/17/2019 16:00,137.6666667,27.12061107,1.307313423
4,5/17/2019 16:30,137.6875,23.74226303,1.384236
4,5/17/2019 17:00,137.7083333,22.76459575,1.754412388
4,5/17/2019 17:30,137.7291667,20.51143556,1.766024658
4,5/17/2019 18:00,137.75,20.45246302,2.743163616
4,5/17/2019 18:30,137.7708333,20.18081156,2.8080493
4,5/17/2019 19:00,137.7916667,20.51896671,2.85651825
4,5/17/2019 19:30,137.8125,19.42061053,1.80508719
4,5/17/2019 20:00,137.8333333,18.8898426,1.188914298
4,5/17/2019 20:30,137.8541667,24.53114319,3.470597872
4,5/17/2019 21:00,137.875,26.46717002,2.755573793
4,5/17/2019 21:30,137.8958333,27.01946518,4.418060343
4,5/17/2019 22:00,137.9166667,28.64548648,4.155685242
4,5/17/2019 22:30,137.9375,30.39494033,3.78177896
4,5/17/2019 23:00,137.9583333,32.51783394,2.780524182
4,5/17/2019 23:30,137.9791667,30.9468244,2.369502848
4,5/18/2019 0:00,138,33.10900858,4.176016418
4,5/18/2019 0:30,138.0208333,32.71278566,3.80890228
4,5/18/2019 1:00,138.0416667,30.47619344,3.115365496
4,5/18/2019 1:30,138.0625,29.43259594,2.422835041
4,5/18/2019 2:00,138.0833333,29.18773049,2.263713651
4,5/18/2019 2:30,138.1041667,29.35741625,3.547722617
4,5/18/2019 3:00,138.125,28.45010265,2.891057932
4,5/18/2019 3:30,138.1458333,26.48288371,3.087749534
4,5/18/2019 4:00,138.1666667,24.48051801,1.755907693
4,5/18/2019 4:30,138.1875,27.64379401,2.162935131
4,5/18/2019 5:00,138.2083333,31.01627779,2.254364473
4,5/18/2019 5:30,138.2291667,29.22243713,2.261021299
4,5/18/2019 6:00,138.25,32.69972866,3.698243373
4,5/18/2019 6:30,138.2708333,31.40593339,3.609215152
4,5/18/2019 7:00,138.2916667,32.36369461,3.688801845
4,5/18/2019 7:30,138.3125,32.6509928,3.652002182
4,5/18/2019 8:00,138.3333333,34.17502019,3.686030834
4,5/18/2019 8:30,138.3541667,33.39575969,4.020959373
4,5/18/2019 9:00,138.375,33.91654408,4.262329717
4,5/18/2019 9:30,138.3958333,34.83866737,3.859605355
4,5/18/2019 10:00,138.4166667,35.82275198,3.313293215
4,5/18/2019 10:30,138.4375,35.82233394,3.671780828
4,5/18/2019 11:00,138.4583333,35.83958735,2.637052251
4,5/18/2019 11:30,138.4791667,29.59462504,1.479593381
4,5/18/2019 12:00,138.5,24.89600901,1.623541184
4,5/18/2019 12:30,138.5208333,20.35972361,1.451107709
4,5/18/2019 13:00,138.5416667,24.97676654,1.619083142
4,5/18/2019 13:30,138.5625,26.56369906,2.648476067
4,5/18/2019 14:00,138.5833333,27.52595608,1.193356332
4,5/18/2019 14:30,138.6041667,26.52326486,2.601354574
4,5/18/2019 15:00,138.625,29.57057092,4.160371679
4,5/18/2019 15:30,138.6458333,30.1998848,4.440982809
4,5/18/2019 16:00,138.6666667,33.25622394,3.261324101
4,5/18/2019 16:30,138.6875,33.1682084,2.594710975
4,5/18/2019 17:00,138.7083333,31.90686786,4.520554528
4,5/18/2019 17:30,138.7291667,32.53364627,4.611029523
4,5/18/2019 18:00,138.75,33.55632513,4.44661785
4,5/18/2019 18:30,138.7708333,32.59930724,4.513295635
4,5/18/2019 19:00,138.7916667,30.13968997,4.606826557
4,5/18/2019 19:30,138.8125,36.40588969,4.418103954
4,5/18/2019 20:00,138.8333333,38.4407885,3.990982348
4,5/18/2019 20:30,138.8541667,40.34747997,3.784480441
4,5/18/2019 21:00,138.875,41.62780748,3.71181673
4,5/18/2019 21:30,138.8958333,41.79177822,3.722770834
4,5/18/2019 22:00,138.9166667,41.40163539,3.753498824
4,5/18/2019 22:30,138.9375,36.75370075,4.389712416
4,5/18/2019 23:00,138.9583333,35.01717003,4.498594333
4,5/18/2019 23:30,138.9791667,33.99153033,4.502801205
4,5/19/2019 0:00,139,34.61708994,4.484007208
4,5/19/2019 0:30,139.0208333,34.34700107,4.498649053
4,5/19/2019 1:00,139.0416667,33.92772763,4.494786483
4,5/19/2019 1:30,139.0625,34.5755908,4.478635244
4,5/19/2019 2:00,139.0833333,35.68962396,4.400004969
4,5/19/2019 2:30,139.1041667,37.65392654,3.962282836
4,5/19/2019 3:00,139.125,39.50535721,3.766891293
4,5/19/2019 3:30,139.1458333,41.7919647,3.691427736
4,5/19/2019 4:00,139.1666667,42.4801379,3.6835069
4,5/19/2019 4:30,139.1875,42.15351263,3.680425033
4,5/19/2019 5:00,139.2083333,42.4097049,3.674261451
4,5/19/2019 5:30,139.2291667,41.89521816,3.674261451
4,5/19/2019 6:00,139.25,41.60239565,3.678106586
4,5/19/2019 6:30,139.2708333,42.08840301,3.674499792
4,5/19/2019 7:00,139.2916667,41.66944214,3.68387885
4,5/19/2019 7:30,139.3125,41.48287718,3.68387885
4,5/19/2019 8:00,139.3333333,37.02826287,4.184386594
4,5/19/2019 8:30,139.3541667,34.15660088,4.456019671
4,5/19/2019 9:00,139.375,32.43421719,4.50208935
4,5/19/2019 9:30,139.3958333,32.45804519,4.510881831
4,5/19/2019 10:00,139.4166667,32.71125437,4.51490085
4,5/19/2019 10:30,139.4375,32.9381487,4.519141999
4,5/19/2019 11:00,139.4583333,31.23644194,4.538671445
4,5/19/2019 11:30,139.4791667,27.78831054,4.621725377
4,5/19/2019 12:00,139.5,25.18161177,4.783783606
4,5/19/2019 12:30,139.5208333,25.10265072,4.729301142
4,5/19/2019 13:00,139.5416667,25.29157732,4.741605561
4,5/19/2019 13:30,139.5625,25.39140987,4.70665733
4,5/19/2019 14:00,139.5833333,15.29306199,5.5
4,5/19/2019 14:30,139.6041667,15.15816723,5.5
4,5/19/2019 15:00,139.625,14.90317548,5.5
4,5/19/2019 15:30,139.6458333,14.49361519,5.5
4,5/19/2019 16:00,139.6666667,14.10513694,5.5
4,5/19/2019 16:30,139.6875,13.15827799,5.5
4,5/19/2019 17:00,139.7083333,12.97358268,5.5
4,5/19/2019 17:30,139.7291667,13.33721135,5.5
4,5/19/2019 18:00,139.75,13.45264592,5.5
4,5/19/2019 18:30,139.7708333,12.08310227,5.5
4,5/19/2019 19:00,139.7916667,10.55908146,5.5
4,5/19/2019 19:30,139.8125,5.160508509,5.5
4,5/19/2019 20:00,139.8333333,12.12105855,5.5
4,5/19/2019 20:30,139.8541667,13.07322852,5.5
4,5/19/2019 21:00,139.875,12.70326008,5.5
4,5/19/2019 21:30,139.8958333,12.78840998,5.5
4,5/19/2019 22:00,139.9166667,13.50338251,5.5
4,5/19/2019 22:30,139.9375,14.59900806,5.5
4,5/19/2019 23:00,139.9583333,17.80379508,5.5
4,5/19/2019 23:30,139.9791667,21.3671575,4.75033174
4,5/20/2019 0:00,140,18.91897404,5.5
4,5/20/2019 0:30,140.0208333,14.98638794,5.5
4,5/20/2019 1:00,140.0416667,17.6612549,5.5
4,5/20/2019 1:30,140.0625,16.52927609,5.5
4,5/20/2019 2:00,140.0833333,13.76739266,5.5
4,5/20/2019 2:30,140.1041667,11.34212872,5.5
4,5/20/2019 3:00,140.125,11.27433814,5.5
4,5/20/2019 3:30,140.1458333,11.26930906,5.5
4,5/20/2019 4:00,140.1666667,11.73301525,5.5
4,5/20/2019 4:30,140.1875,11.02888503,5.5
